#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.32
59.98;200;200;59.94;59.98;59.98;59.98;0.32;0.32
119.96;200;200;83.22;110.01;119.96;117.77;0.34;0.33
179.87;200;200;119.88;157.89;179.87;178.74;0.36;0.34
239.94;200;200;115.47;195.98;239.92;236.59;0.36;0.35
299.97;200;200;115.65;223.25;299.95;293.5;0.35;0.36
359.99;200;200;124.76;246.68;359.96;344.58;0.34;0.36
419.94;200;200;107.52;256.89;413.7;398.65;0.33;0.34
479.98;200;200;116.56;255.16;461.75;433.12;0.34;0.34
540;200;200;113.97;252.22;481.38;473.98;0.34;0.34
599.81;200;200;114.59;263.27;486.85;502.82;0.34;0.34
659.83;200;200;140.57;245.28;512.08;491.77;0.35;0.3
719.99;200;200;130.77;269.37;495.33;526.32;0.33;0.32
779.96;200;200;126.33;259.03;485.5;534.69;0.31;0.31
839.96;200;200;142.29;267.17;498.12;550.78;0.29;0.32
899.95;200;200;135.62;285.16;483.81;563.01;0.32;0.31
959.91;200;200;131.5;309.73;480.71;581.26;0.33;0.31
1019.99;200;200;133.03;305.4;481.2;630.41;0.35;0.33
1079.92;200;200;142.17;296.85;492.77;662.1;0.34;0.3
1139.93;200;200;158.21;309.48;512.65;673.8;0.34;0.3
1199.99;200;200;171.85;309.39;526.83;698.54;0.33;0.31
1259.96;200;200;154.9;328.3;513.94;677.33;0.32;0.31
1319.83;200;200;178.77;326.94;536.59;638.44;0.32;0.34
1379.94;200;200;179.98;330.86;541.05;652.68;0.31;0.33
1439.89;200;200;169.88;352.44;537.56;638.57;0.28;0.34
1499.96;200;200;182.69;345.44;556.71;582.18;0.3;0.33
1559.98;200;200;168.13;373.86;550.64;698.4;0.34;0.3
1619.81;200;200;148.83;380.08;539.69;695.06;0.35;0.32
1679.94;200;200;141.99;366.65;538.74;658.61;0.36;0.31
1739.86;200;200;159.77;376.91;555.42;657.68;0.35;0.3
1799.97;200;200;187.57;387.52;583.15;706.78;0.33;0.31
1859.97;200;200;215.98;397.84;608.67;900.53;0.34;0.31
1919.97;200;200;203.85;392.52;590.26;914.19;0.31;0.31
1980;200;200;217.33;385.91;601;891.44;0.31;0.31
2040;200;200;211.99;397.92;595.25;831.71;0.31;0.33
2099.97;200;200;173.1;366.16;567.03;750.54;0.31;0.29
2160;200;200;169.11;383.48;568.73;764.85;0.32;0.3
2219.84;200;200;167.2;376.04;571.82;687.32;0.31;0.32
2279.99;200;200;177.57;377.93;584.63;697.81;0.29;0.31
2339.97;200;200;201.84;397.36;607.16;704.17;0.3;0.32
2399.97;200;200;165.11;395.92;566.97;768.39;0.29;0.32
2459.83;200;200;166.25;388.97;561.64;698.86;0.3;0.3
2519.97;200;200;173.51;401.46;563.78;776.58;0.29;0.29
2579.87;200;200;170.56;402.39;557.89;726.45;0.29;0.31
2639.84;200;200;170.59;436.2;557.17;789.67;0.29;0.29
2699.97;200;200;204.3;419.89;592.53;912.95;0.29;0.29
2759.87;200;200;206.14;416.93;599.33;881.71;0.29;0.29
2819.93;200;200;237.92;392.41;634.29;826.25;0.29;0.28
2879.92;200;200;241.64;363.02;640.49;813.29;0.31;0.31
2939.96;200;200;250.72;387.47;653.39;732.55;0.31;0.33
2999.97;200;200;265.63;376.73;671.54;748.01;0.3;0.32
3059.92;200;200;268.48;373.64;678.7;743.03;0.29;0.32
3119.9;200;200;273.35;365.36;690.46;771.17;0.29;0.33
3180;200;200;229.05;372.7;653;757.27;0.3;0.33
3239.87;200;200;212.52;344.5;643.23;670.9;0.31;0.34
3299.91;200;200;201.85;341.31;636.28;763.94;0.32;0.36
3359.92;200;200;210.48;357.36;646.88;813.53;0.31;0.34
3419.99;200;200;230.29;369.74;668.94;814.46;0.3;0.32
3479.98;200;200;253.55;362.44;692.28;835.78;0.3;0.35
3539.99;200;200;252.73;378.31;693.42;834.38;0.29;0.36
3599.72;200;200;239.59;371.21;678.2;811.34;0.3;0.34
3659.96;200;200;255.99;346.75;695.59;671.1;0.3;0.34
3719.93;200;200;262.59;360.59;705.71;722.6;0.32;0.32
3779.97;200;200;285.14;391.57;729.77;740.68;0.32;0.32
3839.83;200;200;269.11;397.95;711.82;676.35;0.34;0.32
3899.98;200;200;275.98;415.02;713.63;823.25;0.32;0.34
3959.99;200;200;283.92;424.08;714.52;889.48;0.32;0.34
4019.97;200;200;303.94;433.6;736.29;914.65;0.32;0.32
4079.97;200;200;332.8;419.74;769.17;863.35;0.32;0.33
4139.97;200;200;300.58;410.1;739.89;859.36;0.31;0.3
4199.98;200;200;283.47;401.86;724.33;835.49;0.32;0.34
4259.87;200;200;272.86;418.19;716.26;816.29;0.32;0.34
4320;200;200;257.84;394.19;701.8;858.95;0.31;0.32
4379.97;200;200;241.88;394.47;686.87;782.28;0.32;0.33
4439.98;200;200;254.71;402.59;698.03;976.82;0.31;0.33
4499.99;200;200;264.21;415.51;703.78;855.9;0.3;0.32
4559.96;200;200;270.59;421.47;711.77;739.64;0.3;0.33
4619.91;200;200;301.48;405.05;744.37;951.78;0.29;0.32
4679.98;200;200;320.12;405.61;767.32;909.61;0.3;0.3
4739.87;200;200;318.2;411.15;768.63;817.34;0.31;0.31
