idx;queue_wait_sec;picking_time_sec
0;5.38351576468651;3.01388888888889
1;6.88823954192047;13.0555555555556
2;6.89722222222222;13.025
3;8.24787156919064;3.04101731969826
4;8.30620490252397;3.04444444444444
5;5.4527777777778;3.04444444444445
6;6.96111111111114;13.0805555555556
7;8.34722222222226;3.02222222222224
8;5.40249784668389;3.01388888888887
9;5.44166666666671;13.0423160136351
10;5.37712843080936;3.04444444444445
11;16.3055555555556;3.02777777777774
12;5.41914736233714;4.66268398636493
13;6.89787156919067;3.01323954192047
14;6.90277777777777;13.1388888888889
15;5.4728715691907;3.0034271247462
16;6.80888888888889;3.00833333333335
17;6.78611111111115;33.0444444444445
18;5.38004366181691;3.00212843080939
19;6.91166666666666;43.1506493469684
20;12.1922281852515;13.0194444444444
21;5.41917331864036;24.6006493469684
22;14.1338888888889;83.1500000000001
23;6.88555555555558;34.8805555555556
24;8.25329370252541;23.0444444444445
25;6.90009379141284;43.1132395419205
26;8.28;3.94917026312743
27;8.81879509747606;53.1450937914129
28;6.89770859279633;3.04444444444445
29;41.0803925791613;83.2478715691907
30;6.94935065303162;3.04444444444445
31;5.41388888888895;13.0138888888889
32;6.93944975064096;3.04444444444445
33;15.9095066495688;33.0243506530317
34;8.27009379141293;43.1256493469685
35;6.88380103257904;13.0444444444445
36;5.37753236245953;105.465836929794
37;6.77564934696846;13.0049062085871
38;8.32564934696848;33.1999999999999
39;8.29657287525379;55.2722222222221
40;6.90833333333333;53.1339826803016
41;5.41944444444445;63.1065728752536
42;8.29231601363495;13.0062049025241
43;6.88953823585715;13.067316013635
44;40.2666666666666;3.04166666666669
45;6.78013965994887;3.00500719292171
46;5.39999999999986;43.1200937914128
47;6.78888888888889;43.0830519590945
48;8.26944444444428;33.0228715691904
49;10.759841449176;43.1540764717142
50;5.37752650762098;65.6145382358569
51;6.84870130606322;53.1472222222219
52;6.91690588329658;43.2470418323182
53;8.37712843080919;65.6305555555551
54;46.1068014310764;45.8222222222219
55;46.3826839863644;3.04444444444442
56;11.3879628581381;3.04444444444442
57;6.83888888888885;34.9679653606034
