#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/45,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.85;0;None/0,ParkPod/4,RepositionPod/0,Insert/12,Extract/26,Rest/3
119.9;6;None/0,ParkPod/12,RepositionPod/0,Insert/15,Extract/18,Rest/0
179.97;3;None/0,ParkPod/15,RepositionPod/0,Insert/9,Extract/21,Rest/0
239.89;5;None/0,ParkPod/8,RepositionPod/0,Insert/14,Extract/23,Rest/0
299.91;4;None/0,ParkPod/15,RepositionPod/0,Insert/11,Extract/19,Rest/0
359.98;1;None/0,ParkPod/12,RepositionPod/0,Insert/13,Extract/20,Rest/0
419.96;5;None/0,ParkPod/14,RepositionPod/0,Insert/11,Extract/20,Rest/0
479.97;4;None/0,ParkPod/8,RepositionPod/0,Insert/14,Extract/23,Rest/0
540;1;None/0,ParkPod/11,RepositionPod/0,Insert/13,Extract/21,Rest/0
599.9;5;None/0,ParkPod/11,RepositionPod/0,Insert/12,Extract/22,Rest/0
659.86;6;None/0,ParkPod/13,RepositionPod/0,Insert/10,Extract/22,Rest/0
719.9;2;None/0,ParkPod/9,RepositionPod/0,Insert/13,Extract/23,Rest/0
779.99;5;None/0,ParkPod/15,RepositionPod/0,Insert/11,Extract/19,Rest/0
839.96;2;None/0,ParkPod/12,RepositionPod/0,Insert/11,Extract/22,Rest/0
899.98;2;None/0,ParkPod/12,RepositionPod/0,Insert/12,Extract/21,Rest/0
959.98;2;None/0,ParkPod/12,RepositionPod/0,Insert/12,Extract/21,Rest/0
1019.99;3;None/0,ParkPod/11,RepositionPod/0,Insert/13,Extract/21,Rest/0
1080;5;None/0,ParkPod/12,RepositionPod/0,Insert/12,Extract/21,Rest/0
1139.68;2;None/0,ParkPod/16,RepositionPod/0,Insert/11,Extract/18,Rest/0
1199.95;1;None/0,ParkPod/11,RepositionPod/0,Insert/10,Extract/24,Rest/0
1259.99;2;None/0,ParkPod/11,RepositionPod/0,Insert/12,Extract/22,Rest/0
1319.96;5;None/0,ParkPod/11,RepositionPod/0,Insert/13,Extract/21,Rest/0
1379.96;3;None/0,ParkPod/13,RepositionPod/0,Insert/13,Extract/19,Rest/0
1439.96;6;None/0,ParkPod/10,RepositionPod/0,Insert/13,Extract/22,Rest/0
1499.87;3;None/0,ParkPod/12,RepositionPod/0,Insert/11,Extract/22,Rest/0
1559.97;6;None/0,ParkPod/11,RepositionPod/0,Insert/11,Extract/23,Rest/0
1620;2;None/0,ParkPod/14,RepositionPod/0,Insert/12,Extract/19,Rest/0
1679.97;2;None/0,ParkPod/11,RepositionPod/0,Insert/13,Extract/21,Rest/0
1739.93;3;None/0,ParkPod/11,RepositionPod/0,Insert/9,Extract/25,Rest/0
1799.97;2;None/0,ParkPod/14,RepositionPod/0,Insert/11,Extract/20,Rest/0
1859.95;1;None/0,ParkPod/16,RepositionPod/0,Insert/12,Extract/17,Rest/0
1919.99;3;None/0,ParkPod/10,RepositionPod/0,Insert/12,Extract/23,Rest/0
1979.94;3;None/0,ParkPod/15,RepositionPod/0,Insert/10,Extract/20,Rest/0
2039.99;3;None/0,ParkPod/8,RepositionPod/0,Insert/13,Extract/24,Rest/0
2099.98;4;None/0,ParkPod/14,RepositionPod/0,Insert/11,Extract/20,Rest/0
2159.96;3;None/0,ParkPod/13,RepositionPod/0,Insert/12,Extract/20,Rest/0
2219.97;3;None/0,ParkPod/15,RepositionPod/0,Insert/9,Extract/21,Rest/0
2280;2;None/0,ParkPod/11,RepositionPod/0,Insert/13,Extract/21,Rest/0
2339.71;2;None/0,ParkPod/11,RepositionPod/0,Insert/12,Extract/22,Rest/0
2399.98;3;None/0,ParkPod/5,RepositionPod/0,Insert/12,Extract/28,Rest/0
2459.97;4;None/0,ParkPod/7,RepositionPod/0,Insert/13,Extract/25,Rest/0
2519.96;2;None/0,ParkPod/16,RepositionPod/0,Insert/10,Extract/19,Rest/0
2579.87;2;None/0,ParkPod/8,RepositionPod/0,Insert/12,Extract/25,Rest/0
2639.88;6;None/0,ParkPod/13,RepositionPod/0,Insert/14,Extract/18,Rest/0
2699.98;3;None/0,ParkPod/14,RepositionPod/0,Insert/10,Extract/21,Rest/0
2759.8;5;None/0,ParkPod/8,RepositionPod/0,Insert/14,Extract/23,Rest/0
2819.97;7;None/0,ParkPod/10,RepositionPod/0,Insert/12,Extract/23,Rest/0
2879.94;5;None/0,ParkPod/13,RepositionPod/0,Insert/11,Extract/21,Rest/0
2939.93;3;None/0,ParkPod/15,RepositionPod/0,Insert/11,Extract/19,Rest/0
2999.87;2;None/0,ParkPod/15,RepositionPod/0,Insert/10,Extract/20,Rest/0
3059.96;4;None/0,ParkPod/11,RepositionPod/0,Insert/10,Extract/24,Rest/0
3119.98;3;None/0,ParkPod/14,RepositionPod/0,Insert/11,Extract/20,Rest/0
3179.93;2;None/0,ParkPod/16,RepositionPod/0,Insert/10,Extract/19,Rest/0
3239.94;2;None/0,ParkPod/11,RepositionPod/0,Insert/11,Extract/23,Rest/0
3299.79;2;None/0,ParkPod/14,RepositionPod/0,Insert/12,Extract/19,Rest/0
3359.9;4;None/0,ParkPod/8,RepositionPod/0,Insert/14,Extract/23,Rest/0
3419.9;7;None/0,ParkPod/11,RepositionPod/0,Insert/13,Extract/21,Rest/0
3479.95;5;None/0,ParkPod/12,RepositionPod/0,Insert/11,Extract/22,Rest/0
3539.99;2;None/0,ParkPod/14,RepositionPod/0,Insert/11,Extract/20,Rest/0
3599.99;1;None/0,ParkPod/11,RepositionPod/0,Insert/12,Extract/22,Rest/0
3659.95;3;None/0,ParkPod/9,RepositionPod/0,Insert/12,Extract/24,Rest/0
3720;8;None/0,ParkPod/13,RepositionPod/0,Insert/12,Extract/20,Rest/0
3779.95;6;None/0,ParkPod/11,RepositionPod/0,Insert/13,Extract/21,Rest/0
3839.96;3;None/0,ParkPod/8,RepositionPod/0,Insert/12,Extract/25,Rest/0
3899.97;2;None/0,ParkPod/14,RepositionPod/0,Insert/12,Extract/19,Rest/0
3959.97;3;None/0,ParkPod/11,RepositionPod/0,Insert/11,Extract/23,Rest/0
4019.83;4;None/0,ParkPod/13,RepositionPod/0,Insert/12,Extract/20,Rest/0
4079.95;4;None/0,ParkPod/11,RepositionPod/0,Insert/12,Extract/22,Rest/0
4140;3;None/0,ParkPod/11,RepositionPod/0,Insert/12,Extract/22,Rest/0
4199.96;5;None/0,ParkPod/11,RepositionPod/0,Insert/11,Extract/23,Rest/0
4259.92;2;None/0,ParkPod/14,RepositionPod/0,Insert/10,Extract/21,Rest/0
4319.96;3;None/0,ParkPod/15,RepositionPod/0,Insert/9,Extract/21,Rest/0
4379.96;5;None/0,ParkPod/8,RepositionPod/0,Insert/12,Extract/25,Rest/0
4439.98;4;None/0,ParkPod/9,RepositionPod/0,Insert/12,Extract/24,Rest/0
4499.9;5;None/0,ParkPod/13,RepositionPod/0,Insert/12,Extract/20,Rest/0
4559.99;2;None/0,ParkPod/10,RepositionPod/0,Insert/11,Extract/24,Rest/0
4619.98;4;None/0,ParkPod/13,RepositionPod/0,Insert/12,Extract/20,Rest/0
4679.75;3;None/0,ParkPod/18,RepositionPod/0,Insert/9,Extract/18,Rest/0
4739.97;1;None/0,ParkPod/9,RepositionPod/0,Insert/10,Extract/26,Rest/0
4799.92;8;None/0,ParkPod/14,RepositionPod/0,Insert/11,Extract/20,Rest/0
4859.96;0;None/0,ParkPod/11,RepositionPod/0,Insert/12,Extract/22,Rest/0
4919.71;2;None/0,ParkPod/13,RepositionPod/0,Insert/12,Extract/20,Rest/0
4979.97;3;None/0,ParkPod/10,RepositionPod/0,Insert/11,Extract/24,Rest/0
5039.99;3;None/0,ParkPod/15,RepositionPod/0,Insert/12,Extract/18,Rest/0
5099.87;3;None/0,ParkPod/10,RepositionPod/0,Insert/13,Extract/22,Rest/0
5159.96;2;None/0,ParkPod/15,RepositionPod/0,Insert/10,Extract/20,Rest/0
5219.98;1;None/0,ParkPod/13,RepositionPod/0,Insert/11,Extract/21,Rest/0
5279.97;3;None/0,ParkPod/12,RepositionPod/0,Insert/9,Extract/24,Rest/0
5339.98;3;None/0,ParkPod/12,RepositionPod/0,Insert/13,Extract/20,Rest/0
5399.94;3;None/0,ParkPod/15,RepositionPod/0,Insert/10,Extract/20,Rest/0
5459.97;3;None/0,ParkPod/11,RepositionPod/0,Insert/12,Extract/22,Rest/0
5520;3;None/0,ParkPod/16,RepositionPod/0,Insert/10,Extract/19,Rest/0
5579.91;3;None/0,ParkPod/9,RepositionPod/0,Insert/12,Extract/24,Rest/0
5639.98;5;None/0,ParkPod/13,RepositionPod/0,Insert/11,Extract/21,Rest/0
5700;2;None/0,ParkPod/13,RepositionPod/0,Insert/12,Extract/20,Rest/0
5759.99;2;None/0,ParkPod/18,RepositionPod/0,Insert/10,Extract/17,Rest/0
5819.93;1;None/0,ParkPod/11,RepositionPod/0,Insert/13,Extract/21,Rest/0
5879.98;3;None/0,ParkPod/14,RepositionPod/0,Insert/12,Extract/19,Rest/0
5939.92;5;None/0,ParkPod/13,RepositionPod/0,Insert/10,Extract/22,Rest/0
5999.99;1;None/0,ParkPod/13,RepositionPod/0,Insert/12,Extract/20,Rest/0
6059.97;2;None/0,ParkPod/15,RepositionPod/0,Insert/9,Extract/21,Rest/0
6119.89;2;None/0,ParkPod/15,RepositionPod/0,Insert/10,Extract/20,Rest/0
6179.94;5;None/0,ParkPod/14,RepositionPod/0,Insert/10,Extract/21,Rest/0
6240;2;None/0,ParkPod/12,RepositionPod/0,Insert/10,Extract/23,Rest/0
6300;4;None/0,ParkPod/10,RepositionPod/0,Insert/11,Extract/24,Rest/0
6359.98;5;None/0,ParkPod/13,RepositionPod/0,Insert/10,Extract/22,Rest/0
6419.99;2;None/0,ParkPod/13,RepositionPod/0,Insert/14,Extract/18,Rest/0
6479.81;2;None/0,ParkPod/8,RepositionPod/0,Insert/13,Extract/24,Rest/0
6539.72;3;None/0,ParkPod/15,RepositionPod/0,Insert/9,Extract/21,Rest/0
